count,infant_behavior,age,adult_demo
8,TP,younger,MO
2,TP,younger,MO
4,TP,younger,MO
6,TP,younger,TP
3,TP,younger,MO
0,TP,younger,MO
0,TP,younger,TP
3,TP,younger,TP
0,TP,younger,MO
0,TP,younger,MO
3,TP,younger,TP
0,MO,younger,TP
3,MO,younger,TP
1,MO,younger,MO
1,MO,younger,MO
1,MO,younger,TP
0,MO,younger,MO
0,MO,younger,MO
1,MO,younger,TP
0,MO,younger,MO
2,MO,younger,TP
0,MO,younger,TP
3,TP,younger,MO
0,TP,younger,TP
4,TP,younger,TP
1,TP,younger,TP
3,TP,younger,TP
2,TP,younger,TP
0,TP,younger,TP
0,TP,younger,MO
0,MO,younger,MO
0,MO,younger,TP
0,MO,younger,TP
2,MO,younger,MO
5,MO,younger,TP
2,MO,younger,MO
2,MO,younger,TP
0,MO,younger,MO
10,TP,younger,MO
2,TP,younger,MO
2,TP,younger,MO
1,TP,younger,TP
0,TP,younger,MO
2,TP,younger,TP
0,MO,younger,MO
2,MO,younger,TP
0,MO,younger,TP
0,MO,younger,TP
3,MO,younger,MO
1,MO,younger,TP
2,TP,younger,TP
2,TP,younger,TP
1,TP,younger,MO
8,TP,younger,TP
3,TP,younger,MO
3,TP,younger,TP
1,TP,younger,TP
2,TP,younger,TP
4,TP,younger,MO
1,MO,younger,TP
1,MO,younger,TP
0,MO,younger,MO
4,MO,younger,TP
1,MO,younger,MO
0,MO,younger,TP
0,MO,younger,MO
0,MO,younger,TP
0,MO,younger,TP
3,TP,younger,TP
0,TP,younger,TP
1,TP,younger,TP
0,TP,younger,MO
0,TP,younger,TP
2,TP,younger,TP
1,TP,younger,MO
4,TP,younger,MO
1,TP,younger,TP
1,TP,younger,MO
2,TP,younger,TP
0,MO,younger,MO
1,MO,younger,MO
0,MO,younger,MO
0,MO,younger,TP
2,MO,younger,MO
1,MO,younger,MO
1,MO,younger,TP
1,MO,younger,MO
0,MO,younger,TP
1,MO,younger,TP
0,MO,younger,TP
0,TP,younger,TP
0,TP,younger,MO
0,TP,younger,TP
0,TP,younger,MO
0,TP,younger,TP
0,TP,younger,TP
1,MO,younger,MO
1,MO,younger,TP
0,MO,younger,MO
1,MO,younger,MO
2,MO,younger,MO
1,MO,younger,MO
4,TP,younger,TP
0,TP,younger,MO
0,TP,younger,TP
0,TP,younger,MO
0,TP,younger,TP
0,TP,younger,MO
0,TP,younger,TP
0,MO,younger,MO
0,MO,younger,TP
0,MO,younger,MO
0,MO,younger,MO
0,MO,younger,TP
0,MO,younger,MO
0,MO,younger,TP
0,TP,younger,TP
0,TP,younger,MO
1,TP,younger,MO
0,TP,younger,MO
0,TP,younger,TP
0,TP,younger,TP
2.68,TP,younger,TP
0,TP,younger,TP
1,TP,younger,TP
0,TP,younger,TP
0,TP,younger,MO
0,MO,younger,MO
0,MO,younger,TP
1,MO,younger,MO
0,MO,younger,MO
1,MO,younger,TP
1,MO,younger,MO
0,MO,younger,TP
1,MO,younger,TP
2,MO,younger,TP
0,MO,younger,TP
0,MO,younger,MO
8,TP,younger,MO
8,TP,younger,TP
0,TP,younger,TP
0,TP,younger,MO
9,TP,younger,TP
2,TP,younger,MO
8,TP,younger,MO
2,MO,younger,MO
2,MO,younger,TP
0,MO,younger,MO
2,MO,younger,TP
0,MO,younger,TP
3,MO,younger,TP
0,MO,younger,TP
9,TP,younger,TP
0,TP,younger,TP
0,TP,younger,MO
0,TP,younger,TP
0,TP,younger,MO
0,TP,younger,MO
1,TP,younger,TP
4,TP,younger,TP
0,TP,younger,MO
0,TP,younger,TP
0,TP,younger,TP
3,MO,younger,TP
0,MO,younger,TP
0,MO,younger,MO
0,MO,younger,MO
0,MO,younger,MO
5,MO,younger,MO
0,MO,younger,MO
0,MO,younger,TP
2,MO,younger,TP
0,MO,younger,TP
0,MO,younger,MO
0,TP,younger,TP
0,TP,younger,MO
0,TP,younger,MO
0,TP,younger,MO
0,TP,younger,TP
1,TP,younger,MO
2,TP,younger,MO
1,TP,younger,MO
0,TP,younger,TP
0,TP,younger,MO
1,TP,younger,MO
0,MO,younger,MO
3,MO,younger,TP
1,MO,younger,MO
0,MO,younger,TP
0,MO,younger,TP
0,MO,younger,TP
1,MO,younger,MO
2,MO,younger,MO
1,MO,younger,TP
0,MO,younger,TP
3,MO,younger,TP
1,TP,younger,TP
4,TP,younger,MO
0,TP,younger,MO
3,TP,younger,TP
